Y,PI,RTB
0,0,1
0.014958987,0.00705861,1.080260878938832
-0.063242667,0.009016458,1.001985684855363
-0.163695815,0.004212455,0.8851784469569147
-0.258476498,-0.010559731,0.75657545
-0.336652165,-0.033475415,0.6268870473186875
-0.394013426,-0.061957842,0.5021078341645167
-0.429704134,-0.093678414,0.3858643236051494
-0.444773514,-0.126626605,0.2803381353805102
-0.441380382,-0.159122985,0.1867062748796836
-0.422297889,-0.189816793,0.105403538
-0.390576761,-0.217677521,0.036305167
-0.349306526,-0.241975342,-0.021129112
-0.301445309,-0.262252904,-0.067735301
-0.249702112,-0.278291081,-0.104543951
-0.196461032,-0.290071528,-0.132695411
-0.143739347,-0.297738375,-0.153370338
-0.093172677,-0.301560951,-0.167734507
-0.046021255,-0.301898964,-0.176896826
-0.003191953,-0.299171101,-0.181879278
0.034728601,-0.293827698,-0.183597319
0.06743389,-0.286327739,-0.182849194
0.094853758,-0.277120265,-0.180312577
0.1171098351814229,-0.266630002,-0.176547005
0.1344723042425751,-0.255246913,-0.172000652
0.147319633,-0.243319266,-0.167020142
0.1561023763522219,-0.231149737,-0.161862269
0.1613117301616195,-0.218994058,-0.156706657
0.1634531417427853,-0.207061716,-0.151668579
0.1630249911925112,-0.195518223,-0.146811352
0.1605021265605001,-0.184488543,-0.142157839
0.1563238713021763,-0.17406127,-0.137700797
0.1508860120488899,-0.164293247,-0.133411867
0.1445362125516662,-0.155214337,-0.129249165
0.1375722769597553,-0.146832136,-0.125163467
0.1302426941999776,-0.13913646,-0.121103071
0.1227489273490828,-0.132103479,-0.117017444
0.1152489604798603,-0.125699417,-0.1128598
0.107861674,-0.119883785,-0.108588764
0.1006716862554896,-0.114612107,-0.104169271
