resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,taylor,G2_SIGMA08pitarg,Inflation Target shock,Inflation,0,-0.179782678,-0.507083912,-0.940560655,-1.443237083,-1.80831879,-2.051482603,-2.205894825,-2.305976975,-2.379192475,-2.443574169,-2.508444552,-2.576562206,-2.646593996,-2.715300532,-2.779155818,-2.835340868,-2.882185242,-2.919199041,-2.946855961,-2.966270501,-2.978874964,-2.986158751,-2.989494202,-2.99004576,-2.988743924,-2.986300573,-2.983244409,-2.979960971,-2.976728129,-2.973743372,-2.971142839,-2.969013929,-2.967403833,-2.966325997,-2.965765864,-2.96568655,-2.966034585,-2.96674552,-2.967749139,-2.968973976,-2.970350982,-2.971816272,-2.973312986,-2.974792372,-2.976214214,-2.97754677,-2.978766342,-2.979856601,-2.98080776,-2.981615673,-2.982280915,-2.982807873,-2.983203895,-2.983478501,-2.983642683,-2.983708289,-2.983687499,-2.983592399,-2.983434639,-2.983225176,-2.982974088,-2.982690456,-2.982382303,-2.982056579,-2.981719181,-2.981375006,-2.981028019,-2.980681344,-2.980337353,-2.979997764,-2.979663741,-2.979335982,-2.979014809,-2.978700244,-2.978392084,-2.978089959,-2.977793387,-2.977501817,-2.977214664,-2.976931338,-2.976651269,-2.976373914,-2.976098778,-2.975825411,-2.97555342,-2.97528246,-2.975012239,-2.974742513,-2.974473079,-2.974203776,-2.973934472,-2.973665066,-2.973395482,-2.97312566,-2.972855557,-2.972585142,-2.972314391,-2.972043288,-2.971771819
IRF,taylor,G2_SIGMA08pitarg,Inflation Target shock,Interest,0,0.941100156,0.305011153,-0.399538547,-1.156405455,-1.682351325,-2.015095486,-2.211073274,-2.324646793,-2.397888174,-2.458000155,-2.51897156,-2.585073023,-2.654667375,-2.723475755,-2.786921549,-2.841501265,-2.885330473,-2.918106366,-2.940741242,-2.954880711,-2.962454408,-2.965338079,-2.965149378,-2.963162317,-2.960307144,-2.957219212,-2.954306472,-2.951815133,-2.949882871,-2.948576587,-2.947916423,-2.947889799,-2.948459467,-2.949568719,-2.951145757,-2.953108136,-2.955367443,-2.957833978,-2.960421023,-2.963048389,-2.965645034,-2.968150702,-2.970516656,-2.972705662,-2.974691396,-2.976457462,-2.977996178,-2.979307246,-2.980396421,-2.98127422,-2.981954729,-2.982454524,-2.982791728,-2.982985195,-2.983053834,-2.983016062,-2.982889376,-2.982690037,-2.982432856,-2.982131066,-2.981796269,-2.98143844,-2.981065986,-2.980685836,-2.980303561,-2.979923506,-2.979548938,-2.979182186,-2.97882479,-2.978477631,-2.978141063,-2.97781502,-2.977499123,-2.977192762,-2.976895178,-2.976605519,-2.976322889,-2.976046396,-2.975775169,-2.975508393,-2.975245312,-2.974985243,-2.974727582,-2.974471796,-2.974217431,-2.973964097,-2.973711467,-2.973459273,-2.973207292,-2.972955343,-2.972703283,-2.972450993,-2.97219838,-2.971945368,-2.971691897,-2.971437915,-2.97118338,-2.970928253,-2.970672501
IRF,taylor,G2_SIGMA08pitarg,Inflation Target shock,Output,0,-0.578451653,-0.880654812,-1.007090866,-1.032471766,-1.00861571,-0.962960314,-0.908395428,-0.850063333,-0.789453806,-0.726658842,-0.661550949,-0.594356526,-0.525863084,-0.457382856,-0.390561394,-0.327116336,-0.268584447,-0.216133865,-0.170468397,-0.131821896,-0.100020851,-0.074585146,-0.054838675,-0.040009163,-0.02930605,-0.021973567,-0.017321681,-0.014740291,-0.013702449,-0.013761451,-0.014545142,-0.015749371,-0.017131465,-0.01850392,-0.019728246,-0.02070884,-0.021386834,-0.021733965,-0.021746604,-0.0214401,-0.02084359,-0.019995416,-0.018939201,-0.017720632,-0.016384907,-0.014974822,-0.013529408,-0.012083054,-0.01066503,-0.009299322,-0.008004732,-0.006795155,-0.005679993,-0.004664656,-0.003751107,-0.002938429,-0.002223372,-0.001600888,-0.001064607,-0.000607276,-0.000221134,0.000101769,0.00036931,0.000589088,0.000768263,0.000913449,0.001030644,0.001125189,0.00120176,0.001264384,0.001316465,0.001360829,0.001399777,0.001435137,0.001468324,0.001500402,0.001532133,0.001564031,0.001596416,0.001629446,0.001663165,0.001697528,0.001732432,0.001767737,0.001803283,0.001838905,0.001874441,0.001909744,0.001944681,0.001979141,0.00201303,0.002046278,0.002078831,0.002110653,0.002141725,0.002172039,0.002201598,0.002230413,0.002258501
IRF,taylor,G2_SIGMA08pitarg,Inflation Target shock,Output Gap,0,-0.578451653,-0.868425958,-0.976795158,-0.982199752,-0.938546459,-0.874243465,-0.802662524,-0.729263291,-0.655799764,-0.582578884,-0.509610813,-0.437161079,-0.365954742,-0.297152252,-0.232178372,-0.172483075,-0.119308818,-0.073519689,-0.035519191,-0.005255047,0.01771038,0.034093799,0.044776926,0.050705062,0.052809209,0.051954302,0.048910542,0.044342125,0.038807315,0.032764772,0.026582632,0.020548253,0.014877702,0.00972473,0.005189264,0.00132555,-0.001850011,-0.004351352,-0.006215692,-0.007497051,-0.008260493,-0.008577157,-0.008520149,-0.008161261,-0.00756849,-0.006804272,-0.005924333,-0.004977071,-0.004003351,-0.003036645,-0.002103403,-0.001223617,-0.000411486,0.000323843,0.000977526,0.001548271,0.002037627,0.00244933,0.002788709,0.003062164,0.003276728,0.003439695,0.003558319,0.003639593,0.003690066,0.003715735,0.003721969,0.003713474,0.003694289,0.003667807,0.003636811,0.003603527,0.003569679,0.003536553,0.003505059,0.003475793,0.003449094,0.003425099,0.003403791,0.003385037,0.003368629,0.003354311,0.003341805,0.003330826,0.003321103,0.003312383,0.00330444,0.003297081,0.003290144,0.0032835,0.003277051,0.003270727,0.003264482,0.003258292,0.003252149,0.00324606,0.003240042,0.00323412,0.003228321
IRF,taylor,G2_SIGMA08pitarg,Inflation Target shock,inflationq,0,-0.719130712,-1.309204936,-1.733906973,-2.01070571,-2.179457542,-2.281860185,-2.351555862,-2.411034309,-2.472319544,-2.539386961,-2.611037397,-2.683504923,-2.752446702,-2.814213108,-2.866458539,-2.908245122,-2.939824199,-2.962268302,-2.977086218,-2.985903283,-2.990242052,-2.991403451,-2.990428023,-2.988109514,-2.985034707,-2.981630048,-2.978203367,-2.97497576,-2.972103339,-2.969691021,-2.967801235,-2.966460121,-2.965662957,-2.965379676,-2.9655607,-2.966142868,-2.967055095,-2.968223418,-2.969575177,-2.971042216,-2.972563118,-2.974084577,-2.975562035,-2.976959758,-2.978250485,-2.979414801,-2.980440324,-2.981320793,-2.98205512,-2.982646457,-2.983101292,-2.983428624,-2.983639206,-2.983744882,-2.983758022,-2.983691046,-2.983556045,-2.983364482,-2.983126984,-2.982853195,-2.982551691,-2.982229953,-2.981894373,-2.981550299,-2.9812021,-2.980853251,-2.980506427,-2.980163598,-2.979826134,-2.979494897,-2.979170335,-2.978852562,-2.97854144,-2.978236638,-2.977937695,-2.977644064,-2.977355153,-2.977070357,-2.976789082,-2.976510762,-2.976234873,-2.975960939,-2.975688536,-2.975417298,-2.975146907,-2.974877099,-2.974607654,-2.974338392,-2.974069173,-2.973799883,-2.973530438,-2.973260771,-2.972990836,-2.972720596,-2.972450027,-2.97217911,-2.971907832,-2.971636182,-2.971364152
IRF,taylor,G3_CW03pitarg,Inflation Target shock,Inflation,0,-0.000875266,-0.002301773,-0.004260731,-0.006816971,-0.009005221,-0.011111638,-0.013115075,-0.014901304,-0.016516998,-0.017960128,-0.019234393,-0.020357612,-0.021345866,-0.02221572,-0.022983554,-0.023664011,-0.024269818,-0.024811722,-0.025298548,-0.025737442,-0.026134149,-0.026493304,-0.026818698,-0.027113501,-0.027380442,-0.027621935,-0.027840171,-0.02803717,-0.028214818,-0.028374875,-0.028518985,-0.028648676,-0.028765356,-0.028870316,-0.02896473,-0.029049659,-0.02912606,-0.029194788,-0.029256609,-0.029312209,-0.029362197,-0.029407122,-0.029447473,-0.029483691,-0.029516172,-0.029545272,-0.029571314,-0.029594589,-0.029615361,-0.029633868,-0.029650326,-0.029664932,-0.029677862,-0.029689276,-0.02969932,-0.029708124,-0.029715807,-0.029722477,-0.02972823,-0.029733154,-0.029737327,-0.029740822,-0.029743702,-0.029746027,-0.029747849,-0.029749216,-0.029750172,-0.029750754,-0.029751,-0.02975094,-0.029750604,-0.029750018,-0.029749205,-0.029748188,-0.029746986,-0.029745616,-0.029744094,-0.029742434,-0.029740651,-0.029738754,-0.029736756,-0.029734666,-0.029732493,-0.029730244,-0.029727926,-0.029725547,-0.029723112,-0.029720626,-0.029718095,-0.029715522,-0.029712912,-0.029710268,-0.029707593,-0.02970489,-0.029702162,-0.029699412,-0.029696641,-0.029693851,-0.029691045
IRF,taylor,G3_CW03pitarg,Inflation Target shock,Interest,0,0.013112017,0.009816968,0.005703598,0.000859368,-0.003130561,-0.006672328,-0.009758796,-0.012277502,-0.014367975,-0.016095527,-0.017524428,-0.018726854,-0.019758287,-0.020662139,-0.021471072,-0.022207394,-0.022885443,-0.023513759,-0.024096953,-0.024637314,-0.025136003,-0.025593873,-0.026011955,-0.026391701,-0.026735034,-0.027044288,-0.027322089,-0.027571212,-0.02779445,-0.027994504,-0.0281739,-0.028334943,-0.028479695,-0.02860997,-0.028727348,-0.028833201,-0.028928718,-0.029014932,-0.029092745,-0.029162956,-0.029226274,-0.029283335,-0.029334717,-0.029380941,-0.029422486,-0.029459788,-0.029493245,-0.029523223,-0.029550051,-0.029574033,-0.029595441,-0.029614523,-0.029631504,-0.029646585,-0.02965995,-0.029671763,-0.029682172,-0.029691312,-0.029699303,-0.029706255,-0.029712266,-0.029717425,-0.029721814,-0.029725504,-0.029728564,-0.029731051,-0.029733021,-0.029734522,-0.029735599,-0.029736293,-0.029736639,-0.02973667,-0.029736417,-0.029735907,-0.029735163,-0.029734208,-0.029733063,-0.029731744,-0.02973027,-0.029728653,-0.029726908,-0.029725048,-0.029723082,-0.029721021,-0.029718874,-0.02971665,-0.029714355,-0.029711996,-0.029709579,-0.029707111,-0.029704595,-0.029702036,-0.029699438,-0.029696806,-0.029694142,-0.029691449,-0.029688731,-0.029685989,-0.029683226
IRF,taylor,G3_CW03pitarg,Inflation Target shock,Output,0,-0.001150166,-0.003457745,-0.005804613,-0.007821351,-0.00923346,-0.009994745,-0.010154371,-0.009830099,-0.009160964,-0.008283679,-0.007315692,-0.006347888,-0.005442996,-0.004638142,-0.003949508,-0.003377786,-0.002913467,-0.002541393,-0.002244307,-0.002005352,-0.001809615,-0.001644896,-0.001501886,-0.001373976,-0.001256826,-0.001147861,-0.001045763,-0.000950019,-0.000860561,-0.000777505,-0.000700975,-0.000630999,-0.000567472,-0.000510151,-0.000458675,-0.000412603,-0.000371445,-0.000334699,-0.000301873,-0.000272509,-0.000246191,-0.000222552,-0.000201272,-0.000182079,-0.00016474,-0.000149056,-0.000134859,-0.000122002,-0.000110358,-9.98139E-05,-9.02691E-05,-8.16322E-05,-7.38198E-05,-6.67557E-05,-6.03701E-05,-5.45989E-05,-4.93835E-05,-4.46703E-05,-4.04108E-05,-3.65606E-05,-3.30799E-05,-2.99327E-05,-2.70864E-05,-2.45119E-05,-2.21828E-05,-2.00755E-05,-1.81686E-05,-1.6443E-05,-1.48814E-05,-1.34681E-05,-1.2189E-05,-1.10314E-05,-9.98376E-06,-9.03559E-06,-8.17746E-06,-7.40081E-06,-6.6979E-06,-6.06171E-06,-5.48589E-06,-4.96471E-06,-4.49297E-06,-4.06597E-06,-3.67945E-06,-3.32957E-06,-3.01285E-06,-2.72613E-06,-2.46658E-06,-2.23161E-06,-2.01889E-06,-1.82631E-06,-1.65197E-06,-1.49413E-06,-1.35124E-06,-1.22187E-06,-1.10475E-06,-9.99E-07,-9.03E-07,-8.16E-07,-7.37E-07
IRF,taylor,G3_CW03pitarg,Inflation Target shock,Output Gap,0,-0.001150166,-0.003457745,-0.005804613,-0.007821351,-0.00923346,-0.009994745,-0.010154371,-0.009830099,-0.009160964,-0.008283679,-0.007315692,-0.006347888,-0.005442996,-0.004638142,-0.003949508,-0.003377786,-0.002913467,-0.002541393,-0.002244307,-0.002005352,-0.001809615,-0.001644896,-0.001501886,-0.001373976,-0.001256826,-0.001147861,-0.001045763,-0.000950019,-0.000860561,-0.000777505,-0.000700975,-0.000630999,-0.000567472,-0.000510151,-0.000458675,-0.000412603,-0.000371445,-0.000334699,-0.000301873,-0.000272509,-0.000246191,-0.000222552,-0.000201272,-0.000182079,-0.00016474,-0.000149056,-0.000134859,-0.000122002,-0.000110358,-9.98139E-05,-9.02691E-05,-8.16322E-05,-7.38198E-05,-6.67557E-05,-6.03701E-05,-5.45989E-05,-4.93835E-05,-4.46703E-05,-4.04108E-05,-3.65606E-05,-3.30799E-05,-2.99327E-05,-2.70864E-05,-2.45119E-05,-2.21828E-05,-2.00755E-05,-1.81686E-05,-1.6443E-05,-1.48814E-05,-1.34681E-05,-1.2189E-05,-1.10314E-05,-9.98376E-06,-9.03559E-06,-8.17746E-06,-7.40081E-06,-6.6979E-06,-6.06171E-06,-5.48589E-06,-4.96471E-06,-4.49297E-06,-4.06597E-06,-3.67945E-06,-3.32957E-06,-3.01285E-06,-2.72613E-06,-2.46658E-06,-2.23161E-06,-2.01889E-06,-1.82631E-06,-1.65197E-06,-1.49413E-06,-1.35124E-06,-1.22187E-06,-1.10475E-06,-9.99E-07,-9.03E-07,-8.16E-07,-7.37E-07
IRF,taylor,G3_CW03pitarg,Inflation Target shock,inflationq,0,-0.003501066,-0.005706025,-0.007835831,-0.010224961,-0.012254066,-0.014131693,-0.015849579,-0.017369878,-0.018716842,-0.019904214,-0.020946636,-0.021862758,-0.022669855,-0.023383631,-0.024017973,-0.024584585,-0.025093084,-0.025551245,-0.02596528,-0.026340161,-0.026679912,-0.026987864,-0.027266854,-0.027519373,-0.027747676,-0.027953837,-0.028139796,-0.028307372,-0.028458265,-0.028594065,-0.028716238,-0.028826135,-0.028924986,-0.029013904,-0.029093894,-0.029165854,-0.029230589,-0.029288816,-0.029341179,-0.02938825,-0.029430542,-0.029468515,-0.029502585,-0.029533122,-0.029560465,-0.029584916,-0.029606753,-0.029626223,-0.029643552,-0.029658945,-0.029672587,-0.029684645,-0.029695271,-0.029704602,-0.029712761,-0.029719862,-0.029726005,-0.029731281,-0.029735773,-0.029739556,-0.029742698,-0.029745259,-0.029747295,-0.029748856,-0.029749986,-0.029750728,-0.029751116,-0.029751186,-0.029750968,-0.029750488,-0.029749772,-0.029748842,-0.029747719,-0.02974642,-0.029744962,-0.029743361,-0.029741631,-0.029739782,-0.029737828,-0.029735777,-0.029733639,-0.029731422,-0.029729134,-0.029726781,-0.029724369,-0.029721905,-0.029719393,-0.029716838,-0.029714244,-0.029711614,-0.029708952,-0.029706261,-0.029703544,-0.029700803,-0.029698041,-0.029695259,-0.02969246,-0.029689645,-0.029686816
